id	code	name	cat	grp	subgrp	unit	material_form	density_kg_m3	section_area_mm2	material	grade	thickness	width	len	depth	area_field
1230063	26RM01511	Stud	rm	STUD	NULL	PC	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
540062	RM00001	MS Plate 6 x 1500 x 6000 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	6.000000	1500.000000	6000.000000	NULL	NULL
540063	RM00002	MS Plate 9 x 1500 x 6000 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	9.000000	1500.000000	6000.000000	NULL	NULL
540064	RM00003	MS Plate 10 x 1000 x 1500 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	10.000000	1000.000000	1500.000000	NULL	NULL
540065	RM00004	MS Plate 10 x 1500 x 1500 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	10.000000	1500.000000	1500.000000	NULL	NULL
540066	RM00005	MS Plate 11 x 2000 x 6000 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	11.000000	2000.000000	6000.000000	NULL	NULL
540067	RM00006	MS Plate 12 x 2300 x 2500 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	12.000000	2300.000000	2500.000000	NULL	NULL
540068	RM00007	MS Plate 12 x 2600 x 10500 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	12.000000	2600.000000	10500.000000	NULL	NULL
540069	RM00008	MS Plate 12 x 2500 x 12000 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	12.000000	2500.000000	12000.000000	NULL	NULL
540070	RM00009	MS Plate 12 x 2600 x 12000 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	12.000000	2600.000000	12000.000000	NULL	NULL
540071	RM00010	MS Plate 12 x 2500 x 12000 E250 BO	rm	plat	MSE250BO	nos	plate	7850.000	NULL	MS	E250 BO	12.000000	2500.000000	12000.000000	NULL	NULL
540072	RM00011	MS Plate 12 x 2000 x 12000 E250 BO	rm	plat	MSE250BO	nos	plate	7850.000	NULL	MS	E250 BO	12.000000	2000.000000	12000.000000	NULL	NULL
540073	RM00012	MS Plate 12 x 2300 x 12000 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	12.000000	2300.000000	12000.000000	NULL	NULL
540074	RM00013	MS Plate 12 x 2000 x 12000 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	12.000000	2000.000000	12000.000000	NULL	NULL
540075	RM00014	MS Plate 12 x 2500 x 12000 E350 BR	rm	plat	MSE350BR	nos	plate	7850.000	NULL	MS	E350 BR	12.000000	2500.000000	12000.000000	NULL	NULL
540076	RM00015	MS Plate 12 x 2500 x 12100 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	12.000000	2500.000000	12100.000000	NULL	NULL
540077	RM00016	MS Plate 14 x 2000 x 6000 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	14.000000	2000.000000	6000.000000	NULL	NULL
540078	RM00017	MS Plate 16 x 2000 x 6300 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	16.000000	2000.000000	6300.000000	NULL	NULL
540079	RM00018	MS Plate 16 x 2300 x 6500 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	16.000000	2300.000000	6500.000000	NULL	NULL
540080	RM00019	MS Plate 16 x 2000 x 8000 E350 BO	rm	plat	MSE350BO	nos	plate	7850.000	NULL	MS	E350 BO	16.000000	2000.000000	8000.000000	NULL	NULL
540081	RM00020	MS Plate 16 x 2350 x 9000 E250 BO	rm	plat	MSE250BO	nos	plate	7850.000	NULL	MS	E250 BO	16.000000	2350.000000	9000.000000	NULL	NULL
540082	RM00021	MS Plate 16 x 2500 x 9000 E250 BO	rm	plat	MSE250BO	nos	plate	7850.000	NULL	MS	E250 BO	16.000000	2500.000000	9000.000000	NULL	NULL
